Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"A1_UpperConv_Running","W017.09",Boolean,1,RO,100,,,,,,,,,,"",
"A2_UpperConv_Running","W027.09",Boolean,1,RO,100,,,,,,,,,,"",
"A3_UpperConv_Running","W037.09",Boolean,1,RO,100,,,,,,,,,,"",
"A4_UpperConv_Running","W047.09",Boolean,1,RO,100,,,,,,,,,,"",
"A5_UpperConv_Running","W057.09",Boolean,1,RO,100,,,,,,,,,,"",
"CN_Speed","D00312",Word,1,R/W,100,,,,,,,,,,"CN Speed",
"CN_TaktTime","D00310",Word,1,R/W,100,,,,,,,,,,"CN Takt Time",
"ConvSpeed","D10010",Word,1,RO,100,,,,,,,,,,"Conveyor Speed",
"H_W1_0","W001.00",Boolean,1,RO,100,,,,,,,,,,"W1.0",
"H_W6_0","W006.00",Boolean,1,RO,100,,,,,,,,,,"W6.0",
"H400","H0400",Word,1,RO,100,,,,,,,,,,"",
"H401","H0401",Word,1,RO,100,,,,,,,,,,"",
"H402","H0402",Word,1,RO,100,,,,,,,,,,"",
"H403","H0403",Word,1,RO,100,,,,,,,,,,"",
"H404","H0404",Word,1,RO,100,,,,,,,,,,"",
"H405","H0405",Word,1,RO,100,,,,,,,,,,"",
"H406","H0406",Word,1,RO,100,,,,,,,,,,"",
"H407","H0407",Word,1,RO,100,,,,,,,,,,"",
"H408","H0408",Word,1,RO,100,,,,,,,,,,"",
"H409","H0409",Word,1,RO,100,,,,,,,,,,"",
"H410","H0410",Word,1,RO,100,,,,,,,,,,"",
"H411","H0411",Word,1,RO,100,,,,,,,,,,"",
"H412","H0412",Word,1,RO,100,,,,,,,,,,"",
"H413","H0413",Word,1,RO,100,,,,,,,,,,"",
"H414","H0414",Word,1,RO,100,,,,,,,,,,"",
"H415","H0415",Word,1,RO,100,,,,,,,,,,"",
"H416","H0416",Word,1,RO,100,,,,,,,,,,"",
"H417","H0417",Word,1,RO,100,,,,,,,,,,"",
"H418","H0418",Word,1,RO,100,,,,,,,,,,"",
"H419","H0419",Word,1,RO,100,,,,,,,,,,"",
"H420","H0420",Word,1,RO,100,,,,,,,,,,"",
"H421","H0421",Word,1,RO,100,,,,,,,,,,"",
"H422","H0422",Word,1,RO,100,,,,,,,,,,"",
"H423","H0423",Word,1,RO,100,,,,,,,,,,"",
"H424","H0424",Word,1,RO,100,,,,,,,,,,"",
"H425","H0425",Word,1,RO,100,,,,,,,,,,"",
"H426","H0426",Word,1,RO,100,,,,,,,,,,"",
"H427","H0427",Word,1,RO,100,,,,,,,,,,"",
"H428","H0428",Word,1,RO,100,,,,,,,,,,"",
"H429","H0429",Word,1,RO,100,,,,,,,,,,"",
"H430","H0430",Word,1,RO,100,,,,,,,,,,"",
"H431","H0431",Word,1,RO,100,,,,,,,,,,"",
"H432","H0432",Word,1,RO,100,,,,,,,,,,"",
"H433","H0433",Word,1,RO,100,,,,,,,,,,"",
"H434","H0434",Word,1,RO,100,,,,,,,,,,"",
"H435","H0435",Word,1,RO,100,,,,,,,,,,"",
"H436","H0436",Word,1,RO,100,,,,,,,,,,"",
"H437","H0437",Word,1,RO,100,,,,,,,,,,"",
"H438","H0438",Word,1,RO,100,,,,,,,,,,"",
"H439","H0439",Word,1,RO,100,,,,,,,,,,"",
"H440","H0440",Word,1,RO,100,,,,,,,,,,"",
"HIS_W09_00","W009.00",Boolean,1,RO,100,,,,,,,,,,"W09.00",
"HIS_W09_01","W009.01",Boolean,1,RO,100,,,,,,,,,,"W09.01",
"HIS_W09_02","W009.02",Boolean,1,RO,100,,,,,,,,,,"W09.02",
"HIS_W09_03","W009.03",Boolean,1,RO,100,,,,,,,,,,"W09.03",
"HIS_W280_00","W280.00",Boolean,1,RO,100,,,,,,,,,,"W280.00",
"HIS_W281_00","W281.00",Boolean,1,RO,100,,,,,,,,,,"W281.00",
"HIS_W283_00","W283.00",Boolean,1,RO,100,,,,,,,,,,"W283.00",
"HIS_W285_00","W285.00",Boolean,1,RO,100,,,,,,,,,,"W285.00",
"HIS_W287_00","W287.00",Boolean,1,RO,100,,,,,,,,,,"W287.00",
"HIS_W289_00","W289.00",Boolean,1,RO,100,,,,,,,,,,"W289.00",
"HIS_W291_00","W291.00",Boolean,1,RO,100,,,,,,,,,,"W291.00",
"HIS_W293_00","W293.00",Boolean,1,RO,100,,,,,,,,,,"W293.00",
"HIS_W295_00","W295.00",Boolean,1,RO,100,,,,,,,,,,"W295.00",
"HIS_W90_00","W090.00",Boolean,1,RO,100,,,,,,,,,,"W90.00",
"HIS_W91_00","W091.00",Boolean,1,RO,100,,,,,,,,,,"W91.0",
"HIS_W92_00","W092.00",Boolean,1,RO,100,,,,,,,,,,"W92.0",
"HIS_W93_00","W093.00",Boolean,1,RO,100,,,,,,,,,,"W93.0",
"HIS_W94_00","W094.00",Boolean,1,RO,100,,,,,,,,,,"W94.0",
"HIS_W94_05","W094.05",Boolean,1,RO,100,,,,,,,,,,"W94.05",
"HIS_W95_00","W095.00",Boolean,1,RO,100,,,,,,,,,,"W95.0",
"HIS_W96_00","W096.00",Boolean,1,RO,100,,,,,,,,,,"W96.0",
"HP_Speed","D00322",Word,1,R/W,100,,,,,,,,,,"HP Speed",
"HP_TaktTime","D00320",Word,1,R/W,100,,,,,,,,,,"HP TaktTime",
"LineOut_PhotoEye","W504.05",Boolean,1,RO,100,,,,,,,,,,"LineOut_PhotoEye",
